codigo_mun7;ano;mes;medicos_total;medicos_sus;residencia_medica;horas_total;horas_hosp;horas_amb;horas_outras;medicos_mil_habitantes
1721109;2008;10;3;3;0;120;0;120;0;0,436935625
1721208;2007;3;12;12;0;386;0;263;123;0,562482422
1721208;2011;3;15;15;0;589;0;486;103;0,663511302
1721307;2012;1;1;1;0;40;0;40;0;0,452898551
1722081;2008;3;4;4;0;120;0;120;0;0,417798203
1722081;2014;11;6;6;0;185;0;185;0;0,521331132
2100055;2005;12;64;60;0;2119;0;1201;918;0,617706956
2100055;2015;12;67;51;0;1754;423;1331;0;0,610840133
2100105;2005;8;1;1;0;64;0;52;12;0,210837023
2100105;2015;8;5;5;0;223;48;174;1;0,787277594
2100154;2012;1;5;5;0;205;0;205;0;0,421407501
2100204;2014;3;12;12;0;436;54;382;0;0,554221319
2100477;2015;9;22;22;0;863;74;784;5;0,70316745
2100600;2006;4;9;9;0;282;0;186;96;0,240996117
2100600;2007;9;6;6;0;154;0;110;44;0,167940213
2100709;2007;3;11;11;0;632;0;572;60;0,459462846
2100808;2014;9;11;11;0;420;159;261;0;0,730557216
2100832;2011;2;8;8;0;372;0;372;0;0,524418224
2100832;2011;11;6;6;0;292;0;292;0;0,393313668
