Sigla;Código;Município;Renda - rendimentos do trabalho (2000)
BA;2933109;Várzea do Poço;49505
BA;2933158;Várzea Nova;58919
BA;2933174;Varzedo;54988
BA;2933208;Vera Cruz;5801
BA;2933257;Vereda;53109
BA;2933307;Vitória da Conquista;69879
BA;2933406;Wagner;643
BA;2933455;Wanderley;57223
BA;2933505;Wenceslau Guimarães;58574
BA;2933604;Xique-Xique;53337
BA;2999919;Trancoso;NA
BA;2999929;Barcellos;NA
BA;2999939;Olivença;NA
BA;2999949;Villa Verde;NA
CE;2300101;Abaiara;53891
CE;2300150;Acarapé;62996
CE;2300200;Acaraú;51199
CE;2300309;Acopiara;37167
CE;2300408;Aiuaba;40851
CE;2300507;Alcântaras;5532
CE;2300606;Altaneira;39521
CE;2300705;Alto Santo;54353
CE;2300754;Amontada;34881
CE;2300804;Antonina do Norte;47237
CE;2300903;Apuiarés;46779
CE;2301000;Aquiraz;70907
CE;2301109;Aracati;57428
CE;2301208;Aracoiaba;58869
CE;2301257;Ararendá;50527
CE;2301307;Araripe;32935
CE;2301406;Aratuba;56595
CE;2301505;Arneiroz;51224
CE;2301604;Assaré;36944
CE;2301703;Aurora;55944
CE;2301802;Baixio;40978
CE;2301851;Banabuiú;41273
CE;2301901;Barbalha;60665
CE;2301950;Barreira;55978
CE;2302008;Barro;54925
CE;2302057;Barroquinha;66819
CE;2302107;Baturité;4937
CE;2302206;Beberibe;5266
CE;2302305;Bela Cruz;53286
CE;2302404;Boa Viagem;52122
CE;2302503;Brejo Santo;61272
CE;2302602;Camocim;64752
CE;2302701;Campos Sales;5628
CE;2302800;Canindé;53352
CE;2302909;Capistrano;38434
CE;2303006;Caridade;6159
CE;2303105;Cariré;4806
CE;2303204;Caririaçu;61247
CE;2303303;Cariús;32393
CE;2303402;Carnaubal;40314
CE;2303501;Cascavel;62204
CE;2303600;Catarina;39454
CE;2303659;Catunda;45613
CE;2303709;Caucaia;70625
CE;2303808;Cedro;55154
CE;2303907;Chaval;60035
CE;2303931;Choró;3507
CE;2303956;Chorozinho;71428
CE;2304004;Coreaú;60418
CE;2304103;Crateús;64154
CE;2304202;Crato;62005
CE;2304236;Croatá;54172
CE;2304251;Cruz;51916
CE;2304269;Deputado Irapuan Pinheiro;53346
CE;2304277;Ererê;41997
CE;2304285;Eusébio;60642
CE;2304301;Farias Brito;57672
CE;2304350;Forquilha;56388
CE;2304400;Fortaleza;70631
CE;2304459;Fortim;57431
CE;2304509;Frecheirinha;5028
CE;2304608;General Sampaio;56436
CE;2304657;Graça;37412
CE;2304707;Granja;64742
CE;2304806;Granjeiro;33908
CE;2304905;Groaíras;52825
CE;2304954;Guaiúba;66478
CE;2305001;Guaraciaba do Norte;6307
CE;2305100;Guaramiranga;61925
CE;2305209;Hidrolândia;40185
CE;2305233;Horizonte;70549
CE;2305266;Ibaretama;45547
CE;2305308;Ibiapina;58294
CE;2305332;Ibicuitinga;44859
CE;2305357;Icapuí;721
CE;2305407;Icó;49452
CE;2305506;Iguatu;66708
CE;2305605;Independência;61264
CE;2305654;Ipaporanga;32606
CE;2305704;Ipaumirim;42683
CE;2305803;Ipu;63999
CE;2305902;Ipueiras;5295
CE;2306009;Iracema;42148
CE;2306108;Irauçuba;49554
CE;2306207;Itaiçaba;58479
CE;2306256;Itaitinga;67988
CE;2306306;Itapagé;55669
CE;2306405;Itapipoca;47416
CE;2306504;Itapiúna;3994
CE;2306553;Itarema;54514
CE;2306603;Itatira;37301
CE;2306702;Jaguaretama;51982
CE;2306801;Jaguaribara;60104
CE;2306900;Jaguaribe;58731
CE;2307007;Jaguaruana;56208
CE;2307106;Jardim;35692
CE;2307205;Jati;60888
CE;2307254;Jijoca de Jericoacoara;65508
CE;2307304;Juazeiro do Norte;67577
CE;2307403;Jucás;39221
CE;2307502;Lavras da Mangabeira;39404
CE;2307601;Limoeiro do Norte;61853
CE;2307635;Madalena;52121
CE;2307650;Maracanaú;7205
CE;2307700;Maranguape;66956
CE;2307809;Marco;69771
CE;2307908;Martinópole;55435
CE;2308005;Massapê;55616
CE;2308104;Mauriti;57793
CE;2308203;Meruoca;50051
CE;2308302;Milagres;42687
CE;2308351;Milhã;57304
CE;2308377;Miraíma;40855
CE;2308401;Missão Velha;50678
CE;2308500;Mombaça;36248
CE;2308609;Monsenhor Tabosa;52154
CE;2308708;Morada Nova;60498
CE;2308807;Moraújo;57149
CE;2308906;Morrinhos;49557
CE;2309003;Mucambo;57547
CE;2309102;Mulungu;51806
CE;2309201;Nova Olinda;49844
CE;2309300;Nova Russas;54439
CE;2309409;Novo Oriente;56331
CE;2309458;Ocara;39642
CE;2309508;Orós;55535
CE;2309607;Pacajus;6492
CE;2309706;Pacatuba;70997
CE;2309805;Pacoti;59659
CE;2309904;Pacujá;54621
CE;2310001;Palhano;44489
CE;2310100;Palmácia;54209
CE;2310209;Paracuru;57425
CE;2310258;Paraipaba;67855
CE;2310298;Cococi;NA
CE;2310308;Parambu;64298
CE;2310407;Paramoti;43567
CE;2310506;Pedra Branca;49865
CE;2310605;Penaforte;62687
CE;2310704;Pentecoste;60084
CE;2310803;Pereiro;2678
CE;2310852;Pindoretama;64925
CE;2310902;Piquet Carneiro;34739
CE;2310951;Pires Ferreira;58502
CE;2311009;Poranga;3844
CE;2311108;Porteiras;63978
CE;2311207;Potengi;4005
CE;2311231;Potiretama;29613
CE;2311264;Quiterianópolis;68585
CE;2311306;Quixadá;53877
CE;2311355;Quixelô;45924
CE;2311405;Quixeramobim;47069
CE;2311504;Quixeré;59919
CE;2311603;Redenção;53463
CE;2311702;Reriutaba;62067
CE;2311801;Russas;54388
CE;2311900;Saboeiro;29017
